$13$51$03, 18.66, 'a',
$13$51$03, 18.73, 'd',
$13$51$03, 18.88, 'a',
$13$51$03, 18.95, 'd',
$13$51$03, 19.09, 'a',
$13$51$03, 19.16, 'd',
$13$51$03, 19.31, 'a',
$13$51$03, 19.37, 'd',
$13$51$03, 19.52, 'a',
$13$51$04, 19.57, 'd',
$13$51$04, 19.72, 'a',
$13$51$04, 19.80, 'd',
$13$51$04, 19.95, 'a',
$13$51$04, 20.02, 'd',
$13$51$04, 20.15, 'a',
$13$51$04, 20.23, 'd',
$13$51$04, 20.36, 'a',
$13$51$04, 20.45, 'd',
$13$51$05, 20.58, 'a',
$13$51$05, 20.67, 'd',
$13$51$05, 20.80, 'a',
$13$51$05, 20.89, 'd',
$13$51$05, 21.01, 'a',
$13$51$05, 21.11, 'd',
$13$51$05, 21.25, 'a',
$13$51$05, 21.29, 'd',
$13$51$05, 21.46, 'd',
$13$51$05, 21.56, 'a',
$13$51$06, 21.64, 'd',
$13$51$06, 21.81, 'a',
$13$51$06, 21.92, 'w',
$13$51$06, 22.11, 'w',
$13$51$06, 22.25, 's',
$13$51$06, 22.32, 'w',
$13$51$06, 22.45, 's',
$13$51$06, 22.50, 'w',
$13$51$07, 22.65, 's',
$13$51$07, 22.67, 'w',
$13$51$07, 22.85, 's',
$13$51$07, 22.87, 'w',
$13$51$07, 23.03, 'w',
$13$51$07, 23.05, 's',
$13$51$07, 23.20, 'w',
$13$51$07, 23.26, 's',
$13$51$07, 23.38, 'w',
$13$51$07, 23.46, 's',
$13$51$07, 23.55, 'w',
$13$51$08, 23.66, 's',
$13$51$08, 23.69, 'w',
$13$51$08, 23.85, 's',
$13$51$08, 23.87, 'w',
$13$51$08, 24.00, 'w',
$13$51$08, 24.06, 's',
$13$51$08, 24.14, 'w',
$13$51$08, 24.26, 's',
$13$51$08, 24.42, 'w',
$13$51$08, 24.45, 's',
$13$51$08, 24.55, 'w',
$13$51$09, 24.66, 's',
$13$51$09, 24.70, 'w',
$13$51$09, 24.85, 'w',
$13$51$09, 24.86, 's',
$13$51$09, 24.99, 'w',
$13$51$09, 25.04, 's',
$13$51$09, 25.15, 'w',
$13$51$09, 25.23, 's',
$13$51$09, 25.29, 'w',
$13$51$09, 25.44, 's',
$13$51$09, 25.45, 'w',
$13$51$10, 25.61, 'w',
$13$51$10, 25.67, 's',
$13$51$10, 25.77, 'w',
$13$51$10, 25.87, 's',
$13$51$10, 26.04, 'w',
$13$51$10, 26.07, 's',
$13$51$10, 26.31, 's',
$13$51$10, 26.37, 'w',
$13$51$10, 26.54, 's',
$13$51$10, 26.55, 'w',
$13$51$11, 26.78, 'd',
$13$51$11, 26.81, 'a',
$13$51$11, 26.94, 'd',
$13$51$11, 27.03, 'a',
$13$51$11, 27.12, 'd',
$13$51$11, 27.23, 'a',
$13$51$11, 27.26, 'd',
$13$51$11, 27.41, 'd',
$13$51$11, 27.47, 'a',
$13$51$12, 27.67, 's',
$13$51$12, 27.69, 'w',
$13$51$12, 27.84, 'w',
$13$51$12, 27.89, 's',
$13$51$12, 27.99, 'w',
$13$51$12, 28.09, 's',
$13$51$12, 28.14, 'w',
$13$51$12, 28.36, 'a',
$13$51$12, 28.40, 'd',
$13$51$12, 28.54, 'd',
$13$51$13, 28.57, 'a',
$13$51$13, 28.66, 'd',
$13$51$13, 28.75, 'a',
